Code client;Nom client;adresse livraison
003581;POISSONNERIE DE ST OMER;1 RUE LOUIS MARTEL, 62500 ST OMER
004426;MAIRIE DE DIVION;1 RUE PASTEUR, 62460 DIVION
002566;EPDSAE - MEF ROUBAIX TOURCOING;1 RUE PAUL WANTE, 59100 ROUBAIX
001317;EPDEF;1 RUE PERGAUD, 62000 ARRAS
001281;LYCEE EUGENE WOILLEZ;1 RUE PORTE BECQUERELLE, 62170 MONTREUIL
002295;DEPARTEMENT DU NORD;1 RUE RE KELSO, 59310 ORCHIES
003473;SAS OPVI - LA PIZZA DE NICO RJ05/2024;1 RUE SAINT MARGUERITE, 62000 ARRAS
001758;VILLE D'ARRAS;1-3 RUE DE BERLIN, 62000 ARRAS
004585;LE SAINT HUBERT;1-8 PLACE SAINT HUBERT, 59000 LILLE
002498;ATOUTIME - GAMM VERT TAVERNY 335;1/3 AVENUE THEODORE MONOD, 95150 TAVERNY
004396;LECONTE TRAITEUR;10 BIS ROUTE NATIONALE, 80360 RANCOURT
003672;EPDSAE - MEF FLANDRE INTERIEURE;10 BOULEVARD FAIDHERBE, 59280 ARMENTIERES
059964;MEURIN JOSE CAFE;10 CONTOUR DE L'EGLISE, 59189 THIENNES
004235;LE ST PIERRE AULT;10 GRANDE RUE, 80460 AULT
452501;VANPOUILLE CHRISTOPHE;10 IMPASSE VIGNACOURT, 62960 LIGNY LES AIRE
003706;AUCHAN HYPERMARCHE SAS;10 PETIT CHEMIN, 69300 CALUIRE ET CUIRE
080100;PERNOD RICARD FRANCE;10 PLACE DE LA JOLIETTE, 13002 MARSEILLE 2EME ARRONDISSE
001433;LE PHOENIX CLUB;10 PLACE DU 11 NOVEMBRE 1918, 62500 ST OMER
004475;O PARADISE;10 PLCE ST MICHEL, 80000 AMIENS
003857;LE VINCENNES COUDEKERQUE;10 ROUTE DE STEENDAM, 59210 COUDEKERQUE BRANCHE
002738;ATOUTIME - GAMM VERT GAUCHY 092;10 RUE AUGUSTE DELAUNE, 02430 GAUCHY
800306;LE POURQUOI PAS - MME BAYEUX CHRISTELLE;10 RUE CHARLES BUTOR, 62200 BOULOGNE SUR MER
201242;CENTRE HOSP. REG. UNIVERS. DE LILLE;10 RUE COURTOIS, 59037 LILLE CEDEX
004618;VITALREST EHPAD DAMPIERRE;10 RUE DAMPIERRE, 59100 ROUBAIX
531151;ACOVIS DISTRIBUTION;10 RUE DE LA REPUBLIQUE, 62144 ACQ
003800;AUCHAN SUPERMARCHE SAS;10 RUE DELAROCHE, 62100 CALAIS
004183;CONSEIL DEP DE LA SOMME;10 RUE DES LOUVELS, 80000 AMIENS
002340;VILLE D'ARRAS - ALSH;10 RUE DU BERRY, 62000 ARRAS
