Code client;Nom client;adresse livraison;Latitude;Longitude
52570;LE RIL'S RESTAURANT;14 RUE LOUIS MARTEL, 62500 SAINT OMER;50,74909;2,2516818
4399;CHEZ ANDRE;13 RUE LOUIS MARTEL, 62500 ST OMER;50,7490155;2,251594
3371;LE BISTRONOME MR DAMIDE JULIEN;17 PLACE PIERRE BONHOMME, 62500 SAINT OMER;50,748989;2,250956
200797;COQUELLE TRANSBENELUX;4 AVENUE DE L'EUROPE, 59223 RONCQ;50,748967;3,136786
4482;BARBOX;24 RUE LOUIS MARTEL, 62500 ST OMER;50,7487858;2,2518541
4375;CLAIRE'MARAIS;8 PLACE VICTOR HUGO, 62500 ST OMER;50,7486442;2,2523153
56989;AU PERE MAX CAFE DE FRANCE;29 PLACE VICTOR HUGO, 62500 ST OMER;50,7485406;2,2535754
4603;LE COCHON QUI RIT;17 PLACE VICTOR HUGO, 62500 ST OMER;50,7484663;2,2529934
3697;PAUL GALLET VINS;31 ROUTE DE LEULINE, 62500 ZUDAUSQUES;50,7482179;2,1685156
2390;LYPSO SITE AA;2 RUE DES BEGUINES, 692505 SAINT-OMER;50,7480925;2,2630741
50490;LYCEE ALEXANDRE RIBOT;RUE DE LA COMMUNE DE PARIS, 62500 SAINT-OMER;50,7480607;2,261714
7634;EPDEF - MF AUDOMAROIS;6 IMPASSE GUY MOLLET, 62219 LONGUENESSE;50,7461568;2,2675004
450997;TERNOVEO;62 ROUTE DE LE NIEPPE, 59173 RENESCURE;50,7455815;2,3889538
1361;CENT HOSPI TOURCOING(CUI);135 RUE DU PRESIDENT COTY, 59200 TOURCOING;50,743236;3,18194
200632;CENT HOSPI TOURCOING(GUI);135 RUE DU PRESIDENT COTY, 59208 TOURCOING;50,743236;3,18194
62158;TRANS INTER;RN 42, 62500 TATINGHEM;50,7430859;2,2075587
2080;EPSM DES FLANDRES;790 ROUTE DE LOCRE, 59270 BAILLEUL;50,7430076;2,7401519
930;AUCHAN HYPERMARCHE SAS;BOULEVARD D HALLUIN, 59223 RONCQ;50,7409269;3,132158
4069;PROTECTA SCREEN;55-57 RUE VICTOR BALTARD, 59200 TOURCOING;50,7404248;3,1483488
2678;EPDEF ARRAS;1 RUE DU PRESIDENT ALLENDE, 62219 LONGUENESSE;50,7399404;2,2388501
4741;EPDSAE - MEF ROUBAIX TOURCOING;14 ROUTE DE HAUTEVALLE, 59126 LINSELLES;50,739193;3,085219
201132;AUCHAN HYPERMARCHE SAS;AVENUE DES FRAIS FONDS, 62219 LONGUENESSE;50,7386835;2,2718024
634;LE LONGCHAMP - FASQUEL VINCENT;11 RUE DE CASSEL, 59270 BAILLEUL;50,7384378;2,728997
3563;INSTITUT DEPARTEMENTAL ALBERT CALMETTE;24 RUE DE BEAUREPAIRE, 62200 BOULOGNE SUR MER;50,7376405;1,6129812
4690;LA CERISE SUR L'APERO;61 RUE DE METZ, 59000 LILLE;50,737574;3,193462
833;CENTRE HOSPITALIER BAILLEUL;40 RUE DE LILLE, 59270 BAILLEUL;50,7373562;2,7382196
52690;COLLEGE P. MENDES FRANCE;3 RUE JULES GUESDE, 62510 ARQUES;50,7371808;2,3001984
4561;INSTITUT DEPARTEMENTAL ALBERT CALMETTE;163 RUE DU CHEMIN VERT, 62200 BOULOGNE SUR MER;50,7353825;1,6079987
201131;AUCHAN HYPERMARCHE SAS;AUCHAN BOULOGNE SUR MER, 62280 ST MARTIN BOULOGNE;50,735151;1,6743112
4400;LINSELLES BASKET;18 RUE MARTIN LUTHER KING, 59126 LINSELLES;50,734067;3,078354
54440;LA BONNE FRANQUETTE ARQUES;12 PLACE ROGER SALENGRO, 62510 ARQUES;50,7338383;2,2959221
200097;ALPHAGLASS;AVENUE DU GENERAL DE GAULLE, 62510 ARQUES;50,7338342;2,2972725
4172;LA GOELETTE;110 BOULEVARD SAINTE-BEUVE, 62200 BOULOGNE SUR MER;50,7315917;1,595559
1354;CENTRE HOSPITALIER DE BOULOGNE SUR MER;RUE BEAUREPAIRE, 62200 BOULOGNE SUR MER;50,731585;1,6117233
818;PROMOCASH BOULOGNE SUR MER;Rue Pierre Martin, 62280 ST MARTIN BOULOGNE;50,7313783;1,6756293
1446;EURL LEGER SPIRITUEUX-BOUCHONS ET DELICE;199 AVENUE DE LA FORET, 62360 LA CAPELLE LES BOULOGNE;50,7313272;1,7107969
201152;LYCEE MARIETTE;RUE CHARLES DICKENS, 62200 BOULOGNE SUR MER;50,731237;1,6101859
80192;BRASSERIE JOHN MARTIN NV SA;191 RUE DU CERF, B1332 GENVAL;50,7310167;4,5005208
3865;LA BOUCLE;54 BOULEVARD SAINTE BEUVE, 62200 BOULOGNE SUR MER;50,7304579;1,5962933
4317;LA BOUCLE - EMBARCADERE;54 BOULEVARD SAINTE BEUVE, 62200 BOULOGNE SUR MER;50,7304579;1,5962933
1349;CENTRE HOSPITALIER DE BOULOGNE SUR MER;87 RUE DE LA PAIX, 62200 BOULOGNE SUR MER;50,7298616;1,6122918
1350;CENTRE HOSPITALIER DE BOULOGNE SUR MER;87 RUE DE LA PAIX, 62200 BOULOGNE SUR MER;50,7298616;1,6122918
1351;CENTRE HOSPITALIER DE BOULOGNE SUR MER;87 RUE DE LA PAIX, 62200 BOULOGNE SUR MER;50,7298616;1,6122918
800074;A.S.C. FOOTBALL HAZEBROUCK;20 RUE DE LA PLAINE, 59190 HAZEBROUCK;50,7296346;2,5533479
4285;SEPUR SAS;6 CLYTE STRAETE, 59270 STRAZEELE;50,729529;2,6155117
4007;SMICTOM DES FLANDRES;6 CLYTE STRAETE, 59270 STRAZEELE;50,729529;2,6155117
1285;COLLEGE SALENGRO;13 RUE ROGER SALENGRO, 62280 ST MARTIN BOULOGNE;50,7282271;1,6301199
98390;COMPTOIR GRANDES MARQUES;RUE DE L'HIPPODROME, 62280 ST MARTIN-BOULOGNE;50,7273725;1,682103
2281;DEPARTEMENT DU NORD;13 CHEMIN DU LYCEE, 59190 HAZEBROUCK;50,7272228;2,5323622
4665;LA PASSERELLE;18 RUE NOTRE DAME, 59190 HAZEBROUCK;50,7271858;2,5423682
4136;VITALREST TOURCOING;20 RUE DE GAND, 59200 TOURCOING;50,726925;3,15802
800037;CARPE HAZEBROUCKOISE;45 RUE CESAR PATTEIN, 59190 HAZEBROUCK;50,7260004;2,546428
98550;TRANSGOURMET OPERATIONS;RUE DE PROVENCE, 62510 ARQUES;50,7258671;2,3050479
4487;LE CYRANO - SARL VALTANG;9 RUE COQUELIN, 62200 BOULOGNE SUR MER;50,7252785;1,6027291
200629;CENT HOSPI TOURCOING(BOS);89 RUE NATIONALE, 59200 TOURCOING;50,724527;3,15334
4502;LE 21EME;21 RUE NATIONALE, 59200 TOURCOING;50,723998;3,158619
69325;BENDRE ANTHONY;RUE DU BOIS, 62380 ACQUIN WESTBECOURT;50,7239416;2,0881349
2242;L'EPHEMERE OLIVIER PRUVOST;20 RUE DE LA CLEF, 59190 HAZEBROUCK;50,7239248;2,536646
56911;BEERS PARADISE SAS MR HAVART;80-82-84 RUE VICTOR HUGO, 62200 BOULOGNE SUR MER;50,7235348;1,6044877
1716;EPDSAE - MEF FLANDRE INTERIEURE;37 RUE DE LA SOUS PREFECTURE, 59190 HAZEBROUCK;50,722841;2,5304786
200495;EPDSAE - MEF FLANDRE INTERIEURE;37 RUE DE LA SOUS PREFECTURE, 59190 HAZEBROUCK;50,722841;2,5304786
200496;EPDSAE MEF FLANDRE INTERIEURE;37 RUE DE LA SOUS PREFECTURE, 59190 HAZEBROUCK;50,722841;2,5304786
3551;RESTAURANT ORTIE;11 RUE DU DOYEN, 62200 BOULOGNE SUR MER;50,7227716;1,6066247
1681;VILLE HAZEBROUCK;RUE BIEBUYCK, 59190 HAZEBROUCK;50,7227359;2,53769
2164;VILLE HAZEBROUCK;RUE BIEBUYCK, 59190 HAZEBROUCK;50,7227359;2,53769
1561;LE MUSIC BANDE'S DE TOURCOING;100 RUE DE LILLE, 59200 TOURCOING;50,7227326;3,1520518
1352;CENTRE HOSPITALIER DE BOULOGNE SUR MER;RUE JACQUES MONOD, 62200 BOULOGNE SUR MER;50,722617;1,6304354
1353;CENTRE HOSPITALIER DE BOULOGNE SUR MER;RUE JACQUES MONOD, 62200 BOULOGNE SUR MER;50,722617;1,6304354
2333;LA SAPINIERE REST HOTEL MR RETAUX;12 ROUTE DE SETQUES, 62219 WISQUES;50,7226097;2,194562
2044;EPDSAE - MEF ROUBAIX-TOURCOING;99 RUE DE LILLE, 59200 TOURCOING;50,7225676;3,1512191
1286;LYCEE GIRAUX SANNIER;RUE GIRAUX SANNIER, 62280 ST MARTIN BOULOGNE;50,7224967;1,6356045
4414;VOXEL BREWING;37 RUE SAINTE CATHERINE, 62575 BLENDECQUES;50,7224961;2,2721083
800306;LE POURQUOI PAS - MME BAYEUX CHRISTELLE;10 RUE CHARLES BUTOR, 62200 BOULOGNE SUR MER;50,7212606;1,6051511
2410;C.E.S. FERNANDE BENOIST;RUE DE THEROUANNE, 59190 HAZEBROUCK;50,7211723;2,5328499
201049;COLLEGE ANGELLIER;13 RUE CAZIN, 62200 BOULOGNE SUR MER;50,7211331;1,6093026
1680;VILLE HAZEBROUCK;RUE DEPOORTER, 59190 HAZEBROUCK;50,7202913;2,5339157
1355;CENTRE HOSPITALIER DE BOULOGNE SUR MER;RUE FRANCOIS BOULANGER, 62280 ST MARTIN BOULOGNE;50,7196805;1,6284532
201154;CENTRE HOSPITALIER DE BOULOGNE SUR MER;RUE FRANCOIS BOULANGER, 62280 ST MARTIN BOULOGNE;50,7196805;1,6284532
2118;VILLE HAZEBROUCK-SALLE ESPACE FLANDRE;4 RUE DU MILIEU, 59190 HAZEBROUCK;50,7187261;2,5416043
201023;COLLEGE PIERRE DAUNOU;38 RUE ALEXANDRE DUMAS, 62200 BOULOGNE SUR MER;50,718499;1,6083078
4507;CAP DES TERRITOIRES HAUTS DE FRANCE;6 RUE DU DISPENSAIRE, 59190 HAZEBROUCK;50,7176193;2,5353128
4305;CULTURE PASSION PARTAGEE;18 PLACE DE LA LIBERATION, 62575 BLENDECQUES;50,7172223;2,2813062
99182;HERAULT;PLACE DE LA LIBERATION, 62575 BLENDECQUES;50,7172223;2,2813062
1025;BASKET LE PORTEL SASP ESSM;RUE CHARLES LAMARRE, 62480 LE PORTEL;50,716718;1,5879081
451329;CARTONNERIES GONDARDENNES;RUE POTIER, 62120 WARDRECQUES;50,7151754;2,3328251
762;AQUILA RH;8 QUAI DU HAVRE, 59200 TOURCOING;50,714939;3,1566945
1711;ASSOCIATION SPORT ADAPT;108 RUE DU PONT DES MEUNIERS, 59190 HAZEBROUCK;50,7144015;2,55306
200998;CAT LES ATELIERS DU PONT DES MEUNIERS;108 RUE DU PONT DES MEUNIERS, 59190 HAZEBROUCK;50,7144015;2,55306
71022;DUPONT RESTAURATION SA;108 RUE PONT DES MEUNIERS, 59190 HAZEBROUCK;50,7144015;2,55306
1491;LE CARAQUET LJ 12/2024;33 ROUTE NATIONALE, 62380 COULOMBY;50,7142924;1,9932122
2692;CARREFOUR MARKET QUESNOY SUR DEULE;43 RUE DE COMINES, 59890 QUESNOY SUR DEULE;50,7137908;3,000024
201186;SARL WYBA MR BALAVOINE FRANCOIS;143 RUE DE MERVILLE, 59190 HAZEBROUCK;50,7137738;2,5450282
2555;ATOUTIME - GAMM VERT QUESNOY/DEULE 172;RUE DU MARECHAL FOCH, 59890 QUESNOY SUR DEULE;50,7127148;3,0001733
99030;MAISON DE L'EXPRESSO CAFES BOULET;7 RUE JULES VERNE, 62575 BLENDECQUES;50,7124907;2,2531607
3298;MAIRIE DU PORTEL;RUE LIVENAIS, 62480 LE PORTEL;50,7115653;1,5813603
15410;A.S.HALLINES FOOTBALL;34 RUE ROGER SALENGRO, 62570 HALLINES;50,7110659;2,2059152
3332;MAIRIE DU PORTEL;RUE DU FORT DE COUPPES, 62480 LE PORTEL;50,7100289;1,5731644
58750;LYCEE BERNARD CHOCHOY;RUE MARX DORMOY, 62380 LUMBRES;50,7094936;2,129631
200932;INTERMARCHE LE PORTEL;IMPASSE STEIN, 62480 LE PORTEL;50,7093085;1,5784291
4442;CAFE BRASSERIE DE LA MAIRIE;56 RUE CARNOT, 62480 LE PORTEL;50,707775;1,576572
4743;EL MONTUNO CAFE BRASSERIE;106 RUE DU BLANC SEAU, 59200 TOURCOING;50,7068672;3,1566333
2760;ANTENNE DE QUESNOY/DEULE;ZAC DU VAL DE DEULE, 59890 QUESNOY SUR DEULE;50,7065505;3,0042307
98220;MAISON PLOUVIER SARL;2 BIS IMPASSE NOTRE DAME DES VICTOIRES, 59181 STEENWERCK;50,7056912;2,7809173
80256;BRASSERIE MAISON DB;89 RUE DE TOURCOING, 59100 ROUBAIX;50,702484;3,172117
200499;FOYER DE VIE LE BEL ARBRE;11 TER RUE GABRIEL PERI, 59910 BONDUES;50,7019583;3,1015264
93236;LES CAVES DE BONDUES - MR DELANNOY;897 AVENUE DU GENERAL DE GAULLE, 59910 BONDUES;50,7018242;3,0958803
201223;COLLEGE ALBERT CAMUS;96 RUE DU PRESIDENT KENNEDY, 62230 OUTREAU;50,7014577;1,590187
4391;COSS CAFE;19 RUE DU BOSQUIEL, 59910 BONDUES;50,7011368;3,0939054
97809;CANDY SWEET;55 BOULEVARD MENDES FRANCE, 59150 WATTRELOS;50,6984634;3,2237835
4512;CAP DES TERRITOIRES HAUTS DE FRANCE;235 RUE DU BOIS, 59232 VIEUX BERQUIN;50,6966271;2,6401609
597;LES HAMMADITES - M KACI HASSAN;45 RUE DU CHEMIN DE FER, 59100 ROUBAIX;50,6944919;3,1644139
2214;O GALO D'OURO RESTAURANT;9 PLACE NADAUD, 59100 ROUBAIX;50,694148;3,187666
986;AU COEUR D ARTICHAUT - M MME VERHAEGHE;8 AVENUE DES FLANDRES, 59190 MORBECQUE;50,6939786;2,5175676
4605;MEGARAMA;47 GRANDE RUE, 59100 ROUBAIX;50,692559;3,178442
4618;VITALREST EHPAD DAMPIERRE;10 RUE DAMPIERRE, 59100 ROUBAIX;50,6922713;3,1961894
2022;EPDSAE - MEF ROUBAIX TOURCOING;72 RUE DU GRAND CHEMIN, 59100 ROUBAIX;50,691961;3,165099
601;ANOSTEKE L'ESTAMINET- ARIEN ERB;425 RUE ANDRE PLOCKYN, 59173 BLARINGHEM;50,6910338;2,3978034
850502;CAFE SAINT CREPIN - DAMBRUNE ANDREE;9 RUE SAINT FIRMIN, 59190 MORBECQUE;50,6908517;2,5148514
5501;BRASSERIE MOTTE -CORDONNIER;AVENUE DE L'EUROPE, 59280 ARMENTIERES;50,690656;2,8716071
4589;LE SULKY - JULIE LEBLOND;5 RUE DE LA PIERRE, 62120 RACQUINGHEM;50,6906496;2,3578498
4177;LE FOURGON;270 AVENUE DE L'ESPACE, 59118 WAMBRECHIES;50,6901233;3,0630455
200892;CENT. HOSP. INTERCOMMUNAL DE WASQUEHAL;RUE SALVADOR ALLENDE, 59290 WASQUEHAL;50,6888423;3,1166718
2278;DEPARTEMENT DU NORD;30 BOULEVARD DU GENERAL LECLERC, 59100 ROUBAIX;50,688272;3,176813
4423;PAUSE DEJ';8 RUE DE LILLE, 59100 ROUBAIX;50,6877933;3,1739628
1715;EPDSAE - MEF FLANDRE INTERIEURE;49 BIS RUE DENIS PAPIN, 59280 ARMENTIERES;50,6866039;2,8753781
4547;ASSOCIATION CHALICE;264 CHEMIN DES PEUPLIERS, 59700 MARCQ EN BAROEUL;50,6861527;3,0936626
3561;ORDRE DE MALTE DELEGATION 62;CHATEAU DE LAPREE, 62120 QUIESTEDE;50,685934;2,3247961
4516;CAP DES TERRITOIRES HAUTS DE FRANCE;34 BD DE MULHOUSE, 59100 ROUBAIX;50,685775;3,194901
3771;RESIDENCE OBERT;2 RUE DES ECOLES, 59118 WAMBRECHIES;50,6853443;3,0515625
80259;BRASSERIE TANDEM;564 AVENUE CLÉMENT ADER, 59118 WAMBRECHIES;50,6849956;3,0627646
4543;LA GOGUETTE;5 CHEMIN DE HALAGE, 59290 WASQUEHAL;50,6849199;3,1359711
4381;CAFE DU CENTRE;23 RUE BERNARD CHOCHOY, 62380 ELNES;50,6847989;2,133433
916;CLASS TOURS LIMITED;ROUTE DE CREMAREST, 62240 DESVRES;50,6840738;1,7948632
1667;EPSM LILLE METROPOLE - GRAMFI;112 RUE SADI CARNOT, 59280 ARMENTIERES;50,6840423;2,8709979
3571;EPDSAE - MEF FLANDRE INTERIEURE;92 RUE SADI CARNOT, 59280 ARMENTIERES;50,6840423;2,8709979
63156;TRANSPORT GABY VASSEUR;5 RUE DU BRULE, 62380 WAVRANS SUR L AA;50,6837013;2,1419303
3672;EPDSAE - MEF FLANDRE INTERIEURE;10 BOULEVARD FAIDHERBE, 59280 ARMENTIERES;50,6836337;2,8706662
451883;GAEC DE LA VALLEE;24 RUE DE LA CAMPAGNETTE, 62380 WAVRANS SUR L AA;50,6835992;2,1334634
2650;BEERS AND CO WASQUEHAL - SARL LENGLET;8 AVENUE GRAND COTTIGNIES, 59290 WASQUEHAL;50,6833653;3,1191889
2197;THIERRY TELLIER - CAFE TELLIER;14 ROUTE DE DESVRES, 62240 LOTTINGHEN;50,683336;1,9314942
2125;CENTRE HOSPITALIER DE ROUBAIX;20 AVENUE JULIEN LAGACHE, 59100 ROUBAIX;50,683085;3,19744
